Beta,b1,b2,b3,b4,b5,b6,b7,b8,c1,c2,c3,c4,c5,mu_SV,mu_EPI,mu_PR,mu_IR,mu_RS,alpha,rho,eta,N,tau,gamma,loglik,loglik.se
1.01,1.6365631526564386,0.4267288979391168,1.6201110247479638,0.09783132545256838,0.6878306357848788,1.393298410127282,3.8404728139129505,5.649218200186307,0.09905881088046088,0.5915875305014172,0.13915073899821598,93.55979781522677,4.646189395735349,0.5,0.1431604990422841,0.93,0.98,0.5,0.4,0.8860825811412435,0.9130414279043745,2269675,0.6260025519960282,0.9059463441029652,-1384.1470853317794,0.005679514474249504
1.01,1.871679334840528,0.4258396685789607,1.7952425488813744,0.12387252558011973,0.8335148369314324,1.4177812713538924,8.35997475660199,10.284542741774802,2.7963743785079926,0.937286045082408,0.7785124987836608,131.53844671482673,22.72678827477474,0.5,0.13087224822892857,0.93,0.98,0.5,0.4,0.8502345445701314,0.8474125669583752,2269675,0.5997215960310708,0.9492107019944609,-1384.1614754278191,0.005665520845533733
1.01,2.1153189827196583,0.20773759624071259,1.643830810500731,0.03302920962609732,0.9772292457863143,1.2514407709645876,29.207909167785644,79.44589585323027,9.096051107459893,4.5569110999444575,0.4941097667926452,146.19034746135492,1.9894715085612542,0.5,0.1195511660241025,0.93,0.98,0.5,0.4,0.6360733519725024,0.9715221190137409,2269675,0.4038238495936745,0.9960500071402272,-1384.3138075946054,0.009202964469197527
1.01,1.7381819165434398,0.5634199125949453,1.8910263592730303,0.05065766234886684,0.8709731816866145,1.989810660801533,2.382467038009334,3.3339913097962994,2.6574387995268403,4.17678643078999,0.7299668154997032,61.22180950053665,2.3467916379008975,0.5,0.1412780949817613,0.93,0.98,0.5,0.4,0.9856915008194713,0.7904754423839571,2269675,0.7063829909918256,0.8077839986966359,-1384.7344605308874,0.00631062743700071
1.01,1.8279313920464475,0.6067322881175595,1.86468035224593,0.007552057923196419,0.7994103015430675,1.867950046838686,3.6001472808590775,4.810995637793995,0.4846413738643623,0.14178454530992018,0.25206759703591936,116.29653181363904,11.611980994141714,0.5,0.12406530621654936,0.93,0.98,0.5,0.4,0.9871421889330317,0.7983337979914753,2269675,0.6927768714440842,0.8764267013706261,-1384.9011672340878,0.007609112851637561
1.01,2.5107040672527794,0.14450084527765417,1.8182608853500177,0.07837731263311319,0.8544718733848508,1.109347149993994,26.411230508502783,41.93049821283841,1.4237117499334808,0.2554739249649817,0.7071161106092251,138.31475604671732,0.07513855930786036,0.5,0.11577051799684172,0.93,0.98,0.5,0.4,0.5587346560236235,0.9117606628556177,2269675,0.38279197458032005,0.9924382747963161,-1385.061105795291,0.006063209595878975
1.01,1.6764606917053877,0.6196869756440319,1.592183276763638,0.12120504953995853,0.7549901075198907,1.7832525583908072,2.6970035888643658,3.475797373870821,2.654425892998512,0.5871620284123896,0.667346485468536,92.20227191567803,9.39138103606136,0.5,0.1348103430129358,0.93,0.98,0.5,0.4,0.9691724944819164,0.8323749581632013,2269675,0.7077720466692472,0.8289339651552032,-1385.157510259235,0.004843301769120404
1.01,1.6837928676083433,0.5338180215821956,1.7139888436108044,0.08657790882452719,0.8083523833163637,2.8118586146536657,0.530147121348046,1.0820831405389695,35.73849724581651,1.2244289830666133,0.6063797670892773,0.9388821589064736,2.881622430088917,0.5,0.12810680166420388,0.93,0.98,0.5,0.4,0.974703780181711,0.8558962053076921,2269675,0.7739109804794236,0.8067983310793115,-1385.206637324422,0.003543591342204939
1.01,1.895536987596106,0.45094827258325554,1.6648268699785793,0.0802125152642386,0.7370034583888476,1.2879221229849407,17.67747969183319,16.754992929869754,0.8959158704416985,0.30810772285799587,0.36081471143642935,280.1556823442071,18.434286605792522,0.5,0.1128464899312623,0.93,0.98,0.5,0.4,0.8376085479445226,0.8963631335779944,2269675,0.5371482238701473,0.9792132665641355,-1385.5534387773246,0.017781336717212572
1.01,1.2373780066783124,0.5300644230685687,1.2337644607617357,0.14349423291746308,0.7766428024959969,1.110422953192859,5.96911035867328,6.2412439459480895,5.702227356167107,2.134091047068357,0.4476091222599777,192.6058995594343,2.973545305791487,0.5,0.15737843391896741,0.93,0.98,0.5,0.4,0.9763151076761426,0.9934846185003151,2269675,0.6893956497711607,0.9343653869793288,-1385.9354238182227,0.020264236459122714
